Quarter,DailyNewsDate,Effective / Expected Close Date of Acquisition ,Region,Acquirer,HQ_Acquirer_Country,HQ_Acquirer_State,Target,HQ_Target_Country,HQ_Target_State,Target_Segment,Staffing (x),WFS,Rationale,Price,Hyperlink,Notes/Snippet
18Q1,20180202,20180128,Americas,The Reserves Network Inc. ,USA,OH,Mark/Ryan Associates,USA,IL,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/The-Reserve-Network-acquires-Chicago-based-professional-staffing-firm-44930,
18Q1,20180201,20180209,APAC ,Quess Corp (NSE: QUESS),India,N/A,Monster Worldwide (APAC operations),Asia Pacific,N/A,Workforce Solutions,,Job Boards/Apps,Doubling down on North America and Europe,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Monster-to-sell-Asia-Pacific-operations-to-India-based-Quess-Corp-44915,
18Q1,20180131,,EMEA,Topp Holdings,Germany,N/A,Uniflex (Germany operations),Germany,N/A,Temporary Staffing Skill Segment: All,x,N/A,,"SEK 1.2 million (approximately €122,890)",https://www2.staffingindustry.com/eng/Editorial/Daily-News/Germany-Uniflex-sells-German-subsidiary-44892,"""Unfortunately, we have not managed to get our German business to profit and I believe that the best for the staff and customers in the business is for the company to get another residence,” Jan Bengtsson CEO Uniflex, said."
18Q1,20180131,20180402,Americas,On Assignment (NYSE: ASGN),USA,CA,ECS Federal LLC,USA,VA,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,$775 million,https://www2.staffingindustry.com/site/Editorial/Daily-News/On-Assignment-to-pay-775-million-for-federal-contractor-changing-name-to-ASGN-44903,"The transaction is expected to close April 2, subject to regulatory approvals and customary closing conditions. On Assignment also intends to change its name to ASGN Incorporated"
18Q1,20180130,,APAC ,PeopleStrong,India,N/A,Grownout,India,N/A,Workforce Solutions,,Talent Acquisition Technology,,ND,https://www2.staffingindustry.com/row/Editorial/Daily-News/India-PeopleStrong-buys-Grownout-44878,
18Q1,20180129,,Americas,Driven Inc,USA,VA,Update Legal,USA,NY,Temporary Staffing Skill Segment: Legal,x,N/A,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Driven-buys-fourth-largest-legal-staffing-provider-Update-Legal-44872,"Update Legal, the fourth-largest legal staffing firm in the US"
18Q1,20180125,20180301,APAC ,Like Co. Ltd.,Japan,N/A,Crie Anabuki (Osaka branch),Japan,N/A,Temporary Staffing Skill Segment: All,x,N/A,,"JPY 15 million (USD 137,500)",https://www2.staffingindustry.com/row/Editorial/Daily-News/Japan-Crie-Anabuki-to-sell-Osaka-based-staffing-business-to-Like-Co.-44826,
18Q1,20180124,,Americas,hrQ,USA,CO,Revolution Advisors,USA,CO,Workforce Solutions,,Consulting,,ND,https://www.prnewswire.com/news-releases/hrq-and-revolution-advisors-join-forces-300587578.html,hrQ and Revolution Advisors announce today they have combined businesses forming one company.
18Q1,20180124,,Americas,Fiverr,Israel,N/A,AND CO,USA,NY,Workforce Solutions,,Freelancer tools,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Online-staffing-platform-Fiverr-acquires-firm-that-lets-freelancers-manage-invoices-expenses-44823,
18Q1,20180123,20171219,Americas,Tradesmen International (a Blackstone Capital Partners portfolio company),USA,OH,Construction Labor Contractors LLC (a Silver Oaks Services portfolio company),USA,OH,Temporary Staffing Skill Segment: Industrial,x,N/A,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Tradesmen-International-buys-staffing-firm-Construction-Labor-Contractors-44808,
18Q1,20180122,20180119,Americas,Automatic Data Processing Inc. (NASD: ADP) ,USA,NJ,WorkMarket,USA,NY,Workforce Solutions,,FMS,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/ADP-acquires-freelancer-management-system-provider-WorkMarket-44792,"The new business will be referred to as WorkMarket, an ADP Company."
18Q1,20180119,,Americas,American Surgical Professionals,USA,TX,Chesapeake Medical Staffing,USA,MD,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www.prnewswire.com/news-releases/american-surgical-professionals-announces-acquisition-of-chesapeake-medical-staffing-300585317.html,
18Q1,20180119,20180122,APAC ,ITbook Co Ltd,Japan,N/A,"Cosmo Engineering Co., Ltd.",Japan,N/A,Temporary Staffing Skill Segment: IT Staffing,x,N/A,,JPY 116 million (USD 1.04 million),https://www2.staffingindustry.com/row/Editorial/Daily-News/Japan-ITbook-to-buy-Cosmo-Engineering-44765,"Cosmo Engineering Co., Ltd., a company engaged in software development-related temporary staffing business as well as construction work."
18Q1,20180119,,Americas,GPB Capital Holdings LLC  (private equity group),USA,NY,MatrixOneSource,USA,FL,Workforce Solutions,,PEO,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Private-equity-firm-makes-first-foray-into-PEO-market-with-MatrixOneSource-acquisition-44775,
18Q1,20180118,20180131,APAC ,TechnoPro,Japan,N/A,Probizmo,Japan,N/A,Temporary Staffing Skill Segment: IT Staffing,x,N/A,See notes,JPY 1.76 billion (USD 15.8 million),https://www2.staffingindustry.com/row_member/Editorial/Daily-News/Japan-TechnoPro-acquires-Probizmo-44750,TechnoPro Holdings stated that the acquisition will enable it to expand near-shore development contracting for web applications.
18Q1,20180117,,Americas,Cornerstone Staffing Solutions,USA,CA,Arlington Resources Inc.,USA,IL,Temporary Staffing Skill Segment: Finance/Accounting,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Illinois-based-staffing-firm-sells-to-Cornerstone-Staffing-Solutions-44743,
18Q1,20180116,,Americas,KORE1,USA,CA,Kranect,USA,CO,Temporary Staffing Skill Segment: IT Staffing,x,N/A,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Denver-based-IT-staffing-firm-Kranect-now-part-of-KORE1-44727,
18Q1,20180116,,EMEA,Jarell Group,United Kingdom,N/A,Nova Recruitment Services Limited,United Kingdom,N/A,Temporary Staffing Skill Segment: Commercial,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/UK-Jarell-Group-buys-Nova-Recruitment-44718,
18Q1,20180112,,APAC ,HRnetGroup,Singapore,N/A,REForce (51% stake),China,N/A,Place & Search,x,N/A,,Based on financials for next few years (see notes),https://www2.staffingindustry.com/row/Editorial/Daily-News/Singapore-HRnetGroup-sets-sights-on-expansion-to-China-with-acquisition-of-REForce-44692,"HRnetGroup and REForce have agreed to make the acquisition an all-cash deal where 10% of the consideration will be calculated with respect to the financial year ending Dec 31 2017, 45% for 2018 and 45% of 2019"
18Q1,20180112,,Americas,First Step Staffing,USA,GA,On Time Staffing,USA,PA,Temporary Staffing Skill Segment: Industrial,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Nonprofit-staffing-firm-acquires-for-profit-staffing-firm-to-help-homeless-ex-cons-Philly.com-44700,The acquisition will enable First Step to find jobs for homeless people and those recently released from prison.
18Q1,20180111,,APAC ,People Infrastructure,Australia,N/A,Recon Solutions and Recon Technology (50% stake),Australia,N/A,Temporary Staffing Skill Segment: IT Staffing,x,N/A,,AUD 2.8 million (USD 2.2 million) ,https://www2.staffingindustry.com/row/Editorial/Daily-News/Australia-People-Infrastructure-acquires-50-stake-in-Recon-Solutions-and-Recon-Technology-44675,The acquisition price for Recon is AUD 2.8 million (USD 2.2 million) and is comprised of an upfront payment of AUD 2.3 million (USD 1.8 million) in cash and AUD 0.5 million (USD 0.3 million) in People Infrastructure ordinary shares.
18Q1,20180111,20180102,Americas,Molding Business Services,USA,MA,Gros Executive Recruiters,USA,TN,Retained Search,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Molding-Business-Services-acquires-executive-recruiting-firm-for-plastics-packaging-industries-44685,
18Q1,20180111,20180102,Americas,SEEK Professionals ,USA,WI,Career Professionals Inc. ,USA,MN,Temporary Staffing Skill Segment: All,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Seek-Professionals-acquires-Minnesota-firm-44687,Career Professionals was sold by Debra Krueger Knight. The firm specializes in placing entry level to mid-level candidates in careers for those with zero to five years of work experience after college. 
18Q1,20180110,,Americas,Congruex,USA,CO,"CHC Consulting, LLC",USA,CA,Temporary Staffing Skill Segment: Engineering/Design,x,N/A,,ND,https://www.prnewswire.com/news-releases/crestview-backed-congruex-acquires-chc-consulting-300580677.html,
18Q1,20180110,,EMEA,Flexfactory,Netherlands,N/A,Aelbers Flexible Personnel Services BV,Netherlands,N/A,Temporary Staffing Skill Segment: Industrial,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/Netherlands-Flexfactory-buys-Aelbers-Flexible-Personnel-Services-44665,"Aelbers Flexible Personnel Services BV, a Netherlands-based temporary employment agency focused on the construction and logistics industry"
18Q1,20180110,18-Feb,Americas,InGenesis Inc.,USA,TX,"Kelly Healthcare Resources, a division of Kelly Services (NASD: KELYA)",USA,MI,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/InGenesis-acquires-Kelly-Service-s-healthcare-specialty-business-44672,
18Q1,20180109,20171229,Americas,Jackson Healthcare,USA,GA,Avant Healthcare,USA,FL,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Jackson-Healthcare-acquires-international-recruitment-firm-Avant-Healthcare-Professionals-44640,
18Q1,20180105,End of Jan 2018,EMEA,Geometric Results ,USA,MI,De Poel,United Kingdom,N/A,Workforce Solutions,,MSP,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Geometric-Results-acquiring-UK-based-MSP-de-Poel-Group-44623,
18Q1,20180104,,Americas,Didi Chuxing,China,N/A,99,Brazil,N/A,Workforce Solutions,,Human cloud,,Approx. $600 million,https://www2.staffingindustry.com/site/Editorial/Daily-News/Didi-Chuxing-to-buy-Uber-rival-in-Brazil-for-600-million-The-New-York-Times-44602,
18Q1,20180104,End of 2017,Americas,Koya Leadership Partners,USA,MA,ReWork,USA,NY,Workforce Solutions,,Talent Acquisition Technology,Sourcing platform has mid to senior level roles that fits Koya's strategy,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Koya-Leadership-Partners-acquires-recruiting-firm-ReWork-44603,"Koya places mostly seasoned, C-suite executives, and because ReWork’s focus is more on mid- and senior-level executives, the deal brings Koya a new pool of emerging leaders."
18Q1,20180104,20180101,Americas,Wapiti Medical Staffing,USA,SD,Emergency Practice Associates,USA,IA,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Wapiti-Medical-Staffing-acquires-Iowa-based-Emergency-Practice-Associates-44604,"Emergency Practice Associates, an Iowa-based provider of hospital emergency medicine practice management and staffing services."
18Q1,20180103,20180102,Americas,System One,USA,PA,juvo telecom,USA,NC,Workforce Solutions,,Outsourcing,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/System-One-acquires-wireless-telecommunications-services-and-staffing-company-44590," juvo telecom provides site development, project management, program management, consulting and staffing solutions. The company will operate as MOUNTAIN, LTD., a System One division, and its leadership team will remain."
18Q1,20180103,20171222,Americas,TransForce Inc.,USA,VA,Trucking Unlimited,USA,CA,Workforce Solutions,,Job Boards/Apps,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/TransForce-acquires-Trucking-Unlimited-44591,"The acquired company works with a truck driver database of more than 500,000 drivers nationwide. It also operates www.TruckingCompaniesHiring.com, www.TruckingUnlimited.com, www.TruckingIndustry.news and www.TruckersForum.com."
18Q1,20180102,20180131,APAC ,Quess Corp (NSE: QUESS),India,N/A,Golden Star Facilities and Services Private Limited (70% stake),India,N/A,Temporary Staffing Skill Segment: Commercial,x,N/A,,ND,https://www2.staffingindustry.com/row/Editorial/Daily-News/India-Quess-Corp-kicks-off-year-with-two-acquisitions-44580,
18Q1,20180102,20180131,APAC ,Quess Corp (NSE: QUESS),India,N/A,Master Staffing Solutions Private Limited,India,N/A,Workforce Solutions,x,Training/Accreditation,,ND,https://www2.staffingindustry.com/row/Editorial/Daily-News/India-Quess-Corp-kicks-off-year-with-two-acquisitions-44580,
18Q1,20180102,20180101,Americas,Penmac Staffing Services Inc.,USA,MO,Employment Resource Center Inc.,USA,MN,Temporary Staffing Skill Segment: Commercial,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Penmac-Staffing-acquires-Minnesota-based-staffing-provider-Employment-Resource-Center-44573,"The acquisition includes all three Employment Resource Center offices — located in Brainerd, Wadena, and Hutchinson, Minn. — as well as a vendor-on-premise location in Hackensack, Minn."
17Q4,20171221,,EMEA,Daimler,Germany,N/A,Chauffeur Privé (majority stake),France,N/A,Workforce Solutions,,Human cloud,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/In-the-human-cloud-Didi-Chuxing-lands-4-billion-funding-round-Daimler-acquires-Paris-based-ride-sharing-firm-Uber-names-COO-44557,"As of now, Daimler Mobility Services controls more than 50 percent, with the intention to fully acquire Chauffeur Privé by 2019."
17Q4,20171221,,EMEA,"Ausy, a subsidiary of Randstad (AMS: RAND)",France,N/A,eSolve,Germany,N/A,Workforce Solutions,,SOW consulting services,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Randstad-subsidiary-Ausy-bolsters-presence-in-German-auto-industry-with-acquisition-44558,
17Q4,20171219,,APAC ,Ola,India,N/A,Foodpanda (India operations),India,N/A,Workforce Solutions,,Human cloud,,ND,https://www2.staffingindustry.com/row/Editorial/Daily-News/India-Human-cloud-firm-Ola-acquires-Foodpanda-s-India-business-44529,"Foodpanda India, an online food delivery service, will benefit from Ola’s scale and efficiencies as a platform, according to Ola."
17Q4,20171218,,APAC ,Management buy-out (Value Plus NV),Australia,N/A,Hudson Global (Asia Pacific operations) (NASD: HSON),Australia,N/A,Place & Search,x,N/A,Hudson want's to focus on it's RPO operations business going forward,$6.0 million,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Hudson-Global-focuses-on-RPO-to-sell-European-and-Asia-Pacific-staffing-units-for-41-million-44510,
17Q4,20171218,,EMEA,Morgan Philips Group SA,Switzerland,N/A,Hudson Global (European operations ex. Benelux) (NASD: HSON),Europe,N/A,Place & Search,x,N/A,Hudson want's to focus on it's RPO operations business going forward,$10.5 million,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Hudson-Global-focuses-on-RPO-to-sell-European-and-Asia-Pacific-staffing-units-for-41-million-44510,"Sale of Hudson’s recruitment and talent management operations in the rest of Europe to Morgan Philips Group SA (“Morgan Philips”), for $10.5 million in estimated net proceeds, subject to customary working capital and transaction adjustments. "
17Q4,20171218,,EMEA,Management buy-out (Apache Group Holdings),Benelux,N/A,Hudson Global (Benelux operations) (NASD: HSON),Benelux,N/A,Place & Search,x,N/A,Hudson want's to focus on it's RPO operations business going forward,$24.7 million,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Hudson-Global-focuses-on-RPO-to-sell-European-and-Asia-Pacific-staffing-units-for-41-million-44510,"Sale of Hudson’s recruitment and talent management operations in Benelux to Value Plus NV, in a management buyout led by Ivan De Witte, chief executive officer, Hudson Benelux, for $24.7 million in estimated net proceeds, subject to customary transaction adjustments."
17Q4,20171213,By end of 2017,Americas,Target (NYSE: TGT),USA,MN,Shipt,USA,AL,Workforce Solutions,,Human cloud,,$550 million,https://www2.staffingindustry.com/site/Editorial/Daily-News/Target-paying-550-million-for-human-cloud-firm-Shipt-44456,"Shipt is based in Birmingham, Ala., and was founded in 2014. It has a network of more than 20,000 independent contractor personal shoppers."
17Q4,20171213,,EMEA,Mercer (a subsidiary of Marsh & McLennan Companies),USA,NY,Promerit,Germany,N/A,Workforce Solutions,,HR consulting,"With the acquisition, Mercer aims to enhance its position in the German market.",ND,https://www2.staffingindustry.com/eng_member/Editorial/Daily-News/Germany-Mercer-acquires-Promerit-44450,Transaction closing is conditional on merger control approval.
17Q4,20171212,20171211,Americas,Belcan LLC,USA,OH,Aerospace and industrial equipment business unit of CDI Corp.,USA,PA,Temporary Staffing Skill Segment: Engineering/Design,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Staffing-provider-Belcan-acquires-CDI-s-aerospace-and-industrial-equipment-business-unit-44439,
17Q4,20171212,,EMEA,"Russell Reynolds Associates, Inc.",USA,NY,Zygos Partnership,United Kingdom,N/A,Retained Search,x,N/A,,ND,https://www2.staffingindustry.com/eng_member/Editorial/Daily-News/UK-Russell-Reynolds-acquires-advisory-firm-Zygos-Partnership-44433,The Zygos Partnership was founded in 2002 as the first search consultancy to focus exclusively on board appointments.
17Q4,20171211,20171201,Americas,Noor Inc.,USA,NY,Restorative Health Care,USA,TX,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Noor-announces-acquisition-of-Texas-based-home-healthcare-firm-44421,
17Q4,20171211,,Americas,ALKU,USA,MA,Holland Square Group,USA,TN,Temporary Staffing Skill Segment: IT Staffing,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/ALKU-acquires-healthcare-IT-services-firm-Holland-Square-Group-44422,"[Holland Square] provides IT consulting and staffing services to a range of healthcare clients, including payers and healthcare services providers."
17Q4,20171208,20171201,Americas,Avionté,USA,MN,TKO Systems & Support,USA,NY,Workforce Solutions,,IT infrastructure,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Avionte-acquires-staffing-software-provider-TKO-Systems-Support-44405,TKO Systems & Support is a provider of front and back-office staffing software to the staffing industry.
17Q4,20171207,20171204,Americas,System One,USA,PA,GAP Solutions Inc.,USA,VA,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/System-One-acquires-staffing-and-services-firm-GAP-Solutions-44383,"GAP Solutions Inc., a professional services firm providing staffing and services to US government organizations."
17Q4,20171207,20171206,EMEA,Adecco Group AG (VTX: ADEN),Switzerland,N/A,CMAST ,Belgium,N/A,Temporary Staffing Skill Segment: Clinical/Scientific,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/Belgium-The-Adecco-Group-acquires-life-sciences-firm-CMAST-44399,
17Q4,20171206,20171201,Americas,Oasis Outsourcing,USA,FL,Staff One HR,USA,TX,Workforce Solutions,,PEO,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Oasis-Outsourcing-acquires-Dallas-based-PEO-Staff-One-44368,"While Oasis currently has a presence in Texas, the deal expands its geographic footprint in the south-central region of the US."
17Q4,20171205,20171204,Americas,"Everyday Health Professional, a subsidiary of j2 Global",USA,CA,DHI Group Inc. (NYSE: DHX),USA,NY,Workforce Solutions,,Job Boards/Apps,,$15 million,https://www2.staffingindustry.com/site/Editorial/Daily-News/DHI-Group-sells-Health-eCareers-jobs-website-for-15-million-44352,
17Q4,20171204,,Americas,Great Range Capital (private equity group),USA,KS,Labor Source,USA,KS,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Private-equity-acquires-disaster-restoration-staffing-firm-Labor-Source-44333,The investment team also included company management and The Bradley Family Office (Berks Group).
17Q4,20171201,,Americas,Securus Technologies Inc,USA,TX,Jobview,USA,MN,Workforce Solutions,,Talent Acquisition Technology,,$6 million,https://www.businesswire.com/news/home/20171201005587/en/Securus-Acquires-Jobview-Released-Inmates-Find-Jobs,Designs interactive touch screen employment kiosks for exconvicts seeking employment post release
17Q4,20171201,,EMEA,Diverse Employment,United Kingdom,N/A,Authentic Recruitment,United Kingdom,N/A,Direct Hire,x,N/A,,ND,https://www2.staffingindustry.com/eng_member/Editorial/Daily-News/UK-Diverse-Employment-acquires-Authentic-Recruitment-44314,"Authentic Recruitment specialises in recruitment for the creative, digital and technical sectors across the north of England."
17Q4,20171201,,EMEA,Berry Recruitment Group,United Kingdom,N/A,Joy Recruitment,United Kingdom,N/A,Direct Hire,x,N/A,,ND,https://www2.staffingindustry.com/eng_member/Editorial/Daily-News/UK-Berry-Recruitment-Group-acquires-Joy-Recruitment-44315,
17Q4,20171129,20171122,Americas,Bullhorn,USA,MA,Peoplenet,USA,GA,Workforce Solutions,,Payrolling/compliance,Accelerate its cloud-based strategy for staffing firms,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Bullhorn-acquires-Peoplenet-announces-closing-of-its-own-sale-to-private-equity-firm-44289,Peoplenet brand will integrate into Bullhorn
17Q4,20171127,20170801,Americas,Private investor,USA,NJ,Broad Waverly Staffing,USA,NJ,Temporary Staffing Skill Segment: Commercial,x,N/A,,ND,https://www2.staffingindustry.com/site_member/Editorial/Daily-News/Investor-acquires-Broad-Waverly-staffing-of-New-Jersey-44249,
17Q4,20171127,20171124,APAC ,Quess Corp (NSE: QUESS),India,N/A,Trimax Smart Infraprojects (51% stake),India,N/A,Workforce Solutions,,IT infrastructure,Smart city project collaboration,INR 20 million (USD 0.3 million),https://www2.staffingindustry.com/row/Editorial/Daily-News/India-Quess-Corp-takes-majority-stake-in-Trimax-Smart-Infraprojects-44240,Trimax Smart Infraprojects is proposed to be operated as a Joint Venture between Quess Corp (Quess) and Trimax IT Infrastructure and Services to implement smart city project in Ahmedabad.
17Q4,20171124,,EMEA,Actief Group,Belgium,N/A,AB Zeitpersonal,Germany,N/A,Temporary Staffing Skill Segment: All,x,,Actief Group stated that the acquisition of AB Zeitpersonal enables it to strengthen its German footprint and to add a strong complementary company with a solid client base to its portfolio.,ND,https://www2.staffingindustry.com/eng_member/Editorial/Daily-News/Germany-Actief-Group-acquires-temporary-staffing-firm-AB-Zeitpersonal-44236,The acquisition will mark the Actief Group’s third acquisition in Germany following TimeCraft earlier this year and the ISU Group in 2015.
17Q4,20171121,20170904,Americas,AtWork Group (Pheonix location),USA,AZ,Momentum Specialized Staffing,USA,AZ,Temporary Staffing Skill Segment: All,x,N/A,,ND,https://www.prnewswire.com/news-releases/atwork-group-phoenix-announces-merger-with-momentum-specialized-staffing-300560037.html,
17Q4,20171121,,APAC ,Quess Corp (NSE: QUESS),India,N/A,Tata Business Support Services (51% stake),India,N/A,Workforce Solutions,,BPO,,INR 1.53 billion (USD 23.5 million).,https://www2.staffingindustry.com/row/Editorial/Daily-News/India-Quess-Corp-acquires-Tata-Business-Support-Services-44192,
17Q4,20171120,20171116,Americas,Addison Group,USA,IL,Bridgepoint Consulting,USA,TX,Workforce Solutions,,Consulting,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Addison-Group-acquires-Texas-based-management-consulting-firm-44186,"Bridgepoint Consulting will now operate as Bridgepoint Consulting, an Addison Group company."
17Q4,20171115,20171031,Americas,TotalMed,USA,WI,Valley Healthcare Staffing Inc.,USA,CA,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/TotalMed-acquires-Valley-Healthcare-44138,
17Q4,20171114,,EMEA,The House of HR,Belgium,N/A,Redmore Group,Netherlands,N/A,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/Belgium-House-of-HR-acquires-Netherlands-based-Redmore-Group-44111,
17Q4,20171113,20171109,Americas,Olympus Partners  (private equity group),USA,CT,Vaco ,USA,TN,Temporary Staffing Skill Segment: All,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Private-equity-firm-acquires-Vaco-44106,"Vaco provides consulting, contract and direct hire services in sectors including accounting, finance, technology, healthcare, operations and administration."
17Q4,20171109,20171101,Americas,Management buy out,USA,OR,CorSource,USA,OR,Temporary Staffing Skill Segment: IT Staffing,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/IT-staffing-firm-president-leads-buyout-of-CorSource-44073,
17Q4,20171109,,EMEA,Venturion (private equity group),Netherlands,N/A,Melon Media,Netherlands,N/A,Workforce Solutions,,Job Boards/Apps,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/Netherlands-Venturion-acquires-student-job-employment-agency-Melon-Media-44061,"Venturion owns student employment agencies Studentalent and XL Student Employment Agency, among others. … Melon Media, founded in 2000, owns student job portals zoekbijbaan.nl, starters.banen.nl, and stagemotor.nl"
